time,open,high,low,close
1577916000,0.70171,0.70211,0.70057,0.70071
1577919600,0.70071,0.70197,0.70071,0.70189
1577923200,0.70189,0.70196,0.70134,0.70144
1577926800,0.70144,0.70199,0.70136,0.70157
1577930400,0.70157,0.70187,0.70134,0.70156
1577934000,0.70156,0.7017,0.70061,0.70064
1577937600,0.70064,0.70084,0.70021,0.70024
1577941200,0.70024,0.70046,0.69952,0.70017
1577944800,0.70017,0.70029,0.69954,0.7
1577948400,0.7,0.70032,0.69972,0.70006
1577952000,0.70006,0.70066,0.69994,0.70057
1577955600,0.70057,0.7006,0.69963,0.69977
1577959200,0.69977,0.69996,0.69914,0.6997
1577962800,0.6997,0.69972,0.69831,0.69848
1577966400,0.69848,0.69929,0.69834,0.69921
1577970000,0.69921,0.69996,0.69902,0.69967
1577973600,0.69967,0.69982,0.69884,0.6992
1577977200,0.6992,0.70034,0.69858,0.70024
1577980800,0.70024,0.70027,0.69807,0.69817
1577984400,0.69817,0.69845,0.69787,0.6984
1577988000,0.6984,0.69845,0.69806,0.69826
1577991600,0.69826,0.69837,0.69796,0.6982
1577995200,0.6982,0.6988,0.69806,0.69867
1577998800,0.69867,0.69928,0.69863,0.69928
1578002400,0.69928,0.69945,0.69813,0.69833
1578006000,0.69833,0.69867,0.69804,0.69834
1578009600,0.69834,0.69854,0.69787,0.69837
1578013200,0.69837,0.69867,0.69733,0.69736
1578016800,0.69736,0.69776,0.6966,0.69682
1578020400,0.69682,0.69702,0.69628,0.69681
1578024000,0.69681,0.69717,0.69649,0.69652
1578027600,0.69652,0.69669,0.69582,0.69605
1578031200,0.69605,0.6963,0.69581,0.69622
1578034800,0.69622,0.69642,0.69523,0.69544
1578038400,0.69544,0.69593,0.69501,0.69509
1578042000,0.69509,0.69512,0.69361,0.6937
1578045600,0.6937,0.69403,0.69351,0.69369
1578049200,0.69369,0.69372,0.69304,0.69323
1578052800,0.69323,0.69491,0.6931,0.69474
1578056400,0.69474,0.69557,0.69453,0.69455
1578060000,0.69455,0.69542,0.69439,0.69479
1578063600,0.69479,0.69628,0.69479,0.69552
1578067200,0.69552,0.69654,0.69536,0.69616
1578070800,0.69616,0.69643,0.69615,0.69629
1578074400,0.69629,0.6963,0.69549,0.69572
1578078000,0.69572,0.69587,0.69532,0.69586
1578081600,0.69586,0.69587,0.69524,0.69536
1578085200,0.69536,0.69546,0.69452,0.69507
1578261600,0.69507,0.69507,0.69364,0.69367
1578265200,0.69367,0.6945,0.69331,0.69435
1578268800,0.69435,0.69562,0.69435,0.69529
1578272400,0.69529,0.6954,0.69363,0.69402
1578276000,0.69402,0.69482,0.69397,0.69463
1578279600,0.69463,0.69489,0.69405,0.69421
1578283200,0.69421,0.69455,0.69404,0.69449
1578286800,0.69449,0.69457,0.69372,0.69372
1578290400,0.69372,0.69399,0.6933,0.69395
1578294000,0.69395,0.69483,0.69393,0.69456
1578297600,0.69456,0.69511,0.69386,0.69457
1578301200,0.69457,0.69559,0.69456,0.69554
1578304800,0.69554,0.69579,0.69522,0.69532
1578308400,0.69532,0.69533,0.69463,0.69474
1578312000,0.69474,0.69544,0.69467,0.69494
1578315600,0.69494,0.69504,0.69425,0.69445
1578319200,0.69445,0.69452,0.69255,0.69279
1578322800,0.69279,0.6937,0.69262,0.69334
1578326400,0.69334,0.69362,0.69289,0.69311
1578330000,0.69311,0.69354,0.69305,0.69352
1578333600,0.69352,0.69388,0.69336,0.69355
1578337200,0.69355,0.69359,0.69318,0.69338
1578340800,0.69338,0.69405,0.69336,0.69403
1578344400,0.69403,0.69419,0.69384,0.69397
1578348000,0.69397,0.69428,0.69367,0.6939
1578351600,0.6939,0.69393,0.69334,0.69369
1578355200,0.69369,0.69393,0.69272,0.69288
1578358800,0.69288,0.69367,0.69287,0.69322
1578362400,0.69322,0.69348,0.69279,0.69309
1578366000,0.69309,0.69386,0.69299,0.69366
1578369600,0.69366,0.69366,0.69269,0.69275
1578373200,0.69275,0.69315,0.69122,0.69129
1578376800,0.69129,0.69196,0.69052,0.69134
1578380400,0.69134,0.69178,0.68984,0.69005
1578384000,0.69005,0.69129,0.68997,0.6906
1578387600,0.6906,0.69086,0.68897,0.68929
1578391200,0.68929,0.68938,0.68774,0.68794
1578394800,0.68794,0.68804,0.68704,0.68765
1578398400,0.68765,0.68837,0.68755,0.6876
1578402000,0.6876,0.68795,0.68652,0.68667
1578405600,0.68667,0.68696,0.68638,0.68661
1578409200,0.68661,0.68727,0.68619,0.68687
1578412800,0.68687,0.68713,0.68602,0.68602
1578416400,0.68602,0.68691,0.68592,0.68684
1578420000,0.68684,0.68714,0.6867,0.68673
1578423600,0.68673,0.68692,0.68649,0.68688
1578427200,0.68688,0.68706,0.68672,0.68682
