time,open,high,low,close
1577836800,96.5,96.5,96.5,96.5
1577840400,96.502,96.975,96.48,96.913
1577844000,97.005,97.101,97.005,97.061
1577847600,97.006,97.103,97.006,97.061
1577851200,97.061,97.103,97.006,97.093
1577854800,97.091,97.098,96.949,97.04
1577858400,96.948,97.065,96.908,96.969
1577862000,96.969,96.97,96.851,96.913
1577865600,96.913,97.062,96.853,96.923
1577869200,96.923,97.06,96.856,96.908
1577872800,96.853,96.926,96.853,96.916
1577876400,96.862,96.958,96.849,96.944
1577880000,96.944,96.984,96.862,96.922
1577883600,96.922,97.068,96.858,96.922
1577887200,96.921,97.071,96.865,96.94
1577890800,96.888,96.944,96.587,96.664
1577894400,96.664,96.738,96.624,96.714
1577898000,96.707,96.722,96.44,96.464
1577901600,96.464,96.513,96.451,96.462
1577905200,96.461,96.503,96.418,96.503
1577908800,96.503,96.51,96.465,96.498
1577912400,96.499,96.525,96.466,96.475
1577916000,96.473,96.525,96.473,96.491
1577919600,96.491,96.491,96.44,96.445
1577923200,96.477,96.48,96.464,96.469
1577926800,96.47,96.471,96.425,96.449
1577930400,96.448,96.47,96.433,96.45
1577934000,96.451,96.548,96.448,96.542
1577937600,96.542,96.617,96.529,96.617
1577941200,96.617,96.627,96.602,96.602
1577944800,96.601,96.604,96.572,96.574
1577948400,96.574,96.592,96.55,96.556
1577952000,96.555,96.579,96.523,96.528
1577955600,96.529,96.618,96.518,96.61
1577959200,96.61,96.676,96.605,96.639
1577962800,96.64,96.732,96.621,96.727
1577966400,96.727,96.743,96.668,96.679
1577970000,96.68,96.701,96.65,96.66
1577973600,96.66,96.834,96.659,96.813
1577977200,96.811,96.822,96.563,96.563
1577980800,96.564,96.849,96.554,96.843
1577984400,96.843,96.873,96.822,96.837
1577988000,96.836,96.87,96.808,96.816
1577991600,96.817,96.859,96.814,96.846
1577995200,96.846,96.852,96.798,96.823
1577998800,96.822,96.826,96.794,96.805
1578002400,96.805,96.813,96.787,96.803
1578006000,96.803,96.803,96.799,96.799
1578009600,96.788,96.789,96.748,96.75
1578013200,96.751,96.764,96.722,96.748
1578016800,96.749,96.757,96.71,96.754
1578020400,96.754,96.774,96.746,96.77
1578024000,96.77,96.787,96.751,96.784
1578027600,96.783,96.825,96.781,96.808
1578031200,96.808,96.831,96.792,96.793
1578034800,96.793,96.888,96.783,96.869
1578038400,96.87,96.897,96.832,96.895
1578042000,96.894,97.01,96.889,97.009
1578045600,97.008,97.057,96.988,97.019
1578049200,97.019,97.105,97.019,97.076
1578052800,97.076,97.089,96.986,96.998
1578056400,96.997,97.013,96.916,97.013
1578060000,97.013,97.03,96.929,96.948
1578063600,96.947,96.947,96.817,96.846
1578067200,96.846,96.848,96.723,96.778
1578070800,96.779,96.814,96.767,96.786
1578074400,96.786,96.851,96.782,96.843
