time,open,high,low,close
1577916000,121.856,121.971,121.737,121.901
1577919600,121.901,121.988,121.836,121.987
1577923200,121.987,121.994,121.908,121.955
1577926800,121.955,122.025,121.899,121.95
1577930400,121.95,121.994,121.917,121.97
1577934000,121.97,121.983,121.885,121.905
1577937600,121.905,121.922,121.793,121.812
1577941200,121.812,121.851,121.803,121.848
1577944800,121.848,121.879,121.83,121.843
1577948400,121.843,121.971,121.839,121.957
1577952000,121.957,122.001,121.913,121.974
1577955600,121.974,122.02,121.908,121.941
1577959200,121.941,121.966,121.817,121.854
1577962800,121.854,121.898,121.661,121.667
1577966400,121.667,121.786,121.648,121.775
1577970000,121.775,121.776,121.634,121.705
1577973600,121.705,121.727,121.387,121.441
1577977200,121.441,121.445,120.986,121.277
1577980800,121.277,121.32,121.081,121.089
1577984400,121.089,121.266,121.074,121.232
1577988000,121.232,121.252,121.146,121.229
1577991600,121.229,121.269,121.196,121.219
1577995200,121.219,121.259,121.206,121.258
1577998800,121.258,121.295,121.24,121.292
1578002400,121.292,121.309,121.225,121.269
1578006000,121.269,121.38,121.255,121.255
1578009600,121.255,121.285,121.136,121.152
1578013200,121.152,121.196,120.881,120.902
1578016800,120.902,120.976,120.685,120.732
1578020400,120.732,120.873,120.672,120.863
1578024000,120.863,120.929,120.771,120.786
1578027600,120.786,120.823,120.688,120.736
1578031200,120.736,120.801,120.672,120.786
1578034800,120.786,120.789,120.357,120.399
1578038400,120.399,120.588,120.372,120.428
1578042000,120.428,120.469,120.311,120.391
1578045600,120.391,120.459,120.268,120.327
1578049200,120.327,120.345,120.17,120.238
1578052800,120.238,120.444,120.236,120.398
1578056400,120.398,120.563,120.398,120.471
1578060000,120.471,120.727,120.436,120.7
1578063600,120.7,120.749,120.557,120.611
1578067200,120.611,120.68,120.513,120.6
1578070800,120.6,120.648,120.568,120.623
1578074400,120.623,120.68,120.466,120.661
1578078000,120.661,120.682,120.614,120.624
1578081600,120.624,120.677,120.607,120.651
1578085200,120.651,120.667,120.586,120.637
1578261600,120.637,120.637,120.308,120.309
1578265200,120.309,120.518,120.281,120.501
1578268800,120.5,120.748,120.499,120.646
1578272400,120.646,120.667,120.455,120.502
1578276000,120.502,120.658,120.492,120.623
1578279600,120.623,120.712,120.617,120.658
1578283200,120.658,120.68,120.609,120.647
1578286800,120.647,120.664,120.593,120.62
1578290400,120.62,120.625,120.481,120.599
1578294000,120.599,120.773,120.583,120.692
1578297600,120.692,120.753,120.571,120.706
1578301200,120.706,120.875,120.646,120.873
1578304800,120.873,120.985,120.866,120.924
1578308400,120.924,121.11,120.924,121.065
1578312000,121.065,121.135,121.013,121.119
1578315600,121.119,121.135,120.991,121.069
1578319200,121.069,121.089,120.897,120.937
1578322800,120.937,121.226,120.918,121.198
1578326400,121.198,121.277,121.128,121.236
1578330000,121.236,121.328,121.208,121.298
1578333600,121.298,121.342,121.284,121.285
1578337200,121.285,121.4,121.27,121.377
1578340800,121.377,121.389,121.325,121.384
1578344400,121.384,121.388,121.345,121.346
1578348000,121.346,121.346,121.255,121.339
1578351600,121.339,121.389,121.318,121.375
1578355200,121.375,121.398,121.316,121.328
1578358800,121.328,121.435,121.292,121.376
1578362400,121.376,121.419,121.356,121.398
1578366000,121.398,121.437,121.384,121.405
1578369600,121.405,121.448,121.387,121.421
1578373200,121.421,121.434,121.263,121.265
1578376800,121.265,121.345,121.152,121.262
1578380400,121.262,121.27,121.006,121.036
1578384000,121.036,121.374,121.013,121.303
1578387600,121.303,121.378,121.223,121.318
1578391200,121.318,121.324,121.061,121.169
1578394800,121.169,121.244,121.095,121.209
1578398400,121.209,121.238,121.122,121.162
1578402000,121.162,121.22,120.968,120.977
1578405600,120.977,121.053,120.799,120.869
1578409200,120.869,121.024,120.785,121.008
1578412800,121.008,121.042,120.878,120.878
1578416400,120.878,120.987,120.878,120.949
1578420000,120.949,121.008,120.936,120.956
1578423600,120.956,121.009,120.934,120.953
1578427200,120.953,120.993,120.937,120.972
1578430800,120.972,120.984,120.792,120.96
1578434400,120.96,120.99,120.892,120.906
1578438000,120.906,120.943,120.226,120.463
1578441600,120.463,120.554,120.173,120.366
1578445200,120.366,120.655,120.316,120.52
1578448800,120.52,121.036,120.496,120.951
1578452400,120.951,120.969,120.68,120.878
1578456000,120.878,120.924,120.694,120.748
1578459600,120.748,120.826,120.743,120.755
1578463200,120.755,120.907,120.727,120.845
1578466800,120.845,120.971,120.809,120.904
1578470400,120.904,120.957,120.663,120.766
1578474000,120.766,120.87,120.682,120.795
1578477600,120.795,121.004,120.716,120.933
1578481200,120.933,121.037,120.823,120.977
1578484800,120.977,121.025,120.837,120.907
1578488400,120.907,120.94,120.815,120.843
1578492000,120.843,120.976,120.839,120.917
1578495600,120.917,120.985,120.757,120.79
1578499200,120.79,121.262,120.787,121.21
