time,open,high,low,close
1577916000,1.32606,1.32606,1.3244,1.32521
1577919600,1.32521,1.32616,1.32495,1.32504
1577923200,1.32504,1.32625,1.32476,1.3257
1577926800,1.3257,1.32663,1.32538,1.32563
1577930400,1.32563,1.32566,1.32442,1.32489
1577934000,1.32489,1.32497,1.32032,1.32099
1577937600,1.32099,1.3218,1.3204,1.32078
1577941200,1.32078,1.32143,1.32025,1.32138
1577944800,1.32138,1.32243,1.32068,1.32216
1577948400,1.32216,1.32295,1.321,1.32201
1577952000,1.32201,1.32305,1.32095,1.32222
1577955600,1.32222,1.32275,1.32104,1.32145
1577959200,1.32145,1.32151,1.32056,1.32116
1577962800,1.32116,1.32116,1.31893,1.32002
1577966400,1.32002,1.3213,1.31912,1.31973
1577970000,1.31973,1.31974,1.31717,1.31767
1577973600,1.31767,1.31777,1.31357,1.31477
1577977200,1.31477,1.31947,1.31459,1.31896
1577980800,1.31896,1.31897,1.3124,1.31272
1577984400,1.31272,1.31347,1.31155,1.31347
1577988000,1.31347,1.31439,1.31253,1.31401
1577991600,1.31401,1.31408,1.31284,1.3129
1577995200,1.3129,1.3146,1.31288,1.31389
1577998800,1.31389,1.31431,1.31353,1.3143
1578002400,1.3143,1.31461,1.3137,1.31426
1578006000,1.31426,1.31484,1.31359,1.31474
1578009600,1.31474,1.31573,1.31403,1.31557
1578013200,1.31557,1.31605,1.31351,1.31381
1578016800,1.31381,1.31438,1.31235,1.3128
1578020400,1.3128,1.31381,1.31271,1.31364
1578024000,1.31364,1.31377,1.3125,1.31266
1578027600,1.31266,1.31295,1.31161,1.31218
1578031200,1.31218,1.31243,1.3106,1.31242
1578034800,1.31242,1.31242,1.30833,1.30917
1578038400,1.30917,1.3118,1.30868,1.30981
1578042000,1.30981,1.31006,1.30668,1.3068
1578045600,1.3068,1.30884,1.3068,1.30784
1578049200,1.30784,1.30791,1.30538,1.30587
1578052800,1.30587,1.30825,1.30543,1.30806
1578056400,1.30806,1.311,1.30724,1.30728
1578060000,1.30728,1.309,1.30682,1.30705
1578063600,1.30705,1.30946,1.30694,1.30718
1578067200,1.30718,1.30993,1.30697,1.30902
1578070800,1.30902,1.30942,1.30806,1.30884
1578074400,1.30884,1.30903,1.30733,1.30838
1578078000,1.30838,1.30855,1.30752,1.30787
1578081600,1.30787,1.30791,1.30721,1.30735
1578085200,1.30735,1.30816,1.30712,1.30809
1578261600,1.30809,1.309,1.30675,1.30731
1578265200,1.30731,1.30851,1.3064,1.30777
1578268800,1.30776,1.30884,1.30774,1.30803
1578272400,1.30803,1.30819,1.30761,1.30794
1578276000,1.30794,1.30884,1.30794,1.30875
1578279600,1.30875,1.30907,1.30814,1.30824
1578283200,1.30824,1.30871,1.30813,1.30841
1578286800,1.30841,1.30863,1.30802,1.30816
1578290400,1.30816,1.30836,1.30688,1.3083
1578294000,1.3083,1.30945,1.30699,1.30732
1578297600,1.30732,1.31085,1.30644,1.31058
1578301200,1.31058,1.31489,1.31036,1.31437
1578304800,1.31437,1.31737,1.31381,1.31527
1578308400,1.31527,1.31745,1.31512,1.31569
1578312000,1.31569,1.31571,1.31388,1.31388
1578315600,1.31388,1.3149,1.31348,1.31408
1578319200,1.31408,1.31612,1.31337,1.31368
1578322800,1.31368,1.31627,1.3134,1.31589
