time,open,high,low,close
1577919600,1521,1524,1520.5,1521
1577923200,1520.9,1521.9,1520.6,1521.2
1577926800,1521.1,1523.4,1519.7,1522
1577930400,1521.9,1523.4,1520.9,1523.1
1577934000,1523.1,1523.7,1522.3,1522.9
1577937600,1522.9,1522.9,1521.9,1521.9
1577941200,1521.9,1522.9,1521.5,1522.7
1577944800,1522.8,1523.5,1521.8,1523.5
1577948400,1523.5,1524,1521.6,1521.7
1577952000,1521.7,1523.6,1520.9,1523.3
1577955600,1523.2,1523.8,1522,1523.1
1577959200,1523.1,1523.9,1522.2,1523.8
1577962800,1523.8,1525,1523.7,1524.5
1577966400,1524.5,1526.3,1524.1,1525.7
1577970000,1525.7,1531.8,1525.3,1530.7
1577973600,1530.8,1533.2,1528.2,1529
1577977200,1529,1534,1528.5,1531.8
1577980800,1531.8,1531.9,1527.7,1528
1577984400,1528,1528.6,1525.3,1527.8
1577988000,1527.8,1529.1,1527.4,1528.8
1577991600,1528.9,1529.5,1528.1,1529.3
1577995200,1529.3,1531.1,1529.1,1530.9
1577998800,1530.9,1531.7,1530.5,1531.6
1578006000,1531.7,1531.8,1530.4,1531.3
1578009600,1531.3,1533.2,1531.3,1533.1
1578013200,1533,1538.4,1532.5,1537.6
1578016800,1537.6,1543.7,1535,1541
1578020400,1541,1543.3,1540.4,1541.3
1578024000,1541.3,1542.3,1540,1541.4
1578027600,1541.4,1546.5,1540.9,1544.2
1578031200,1544.2,1545.3,1543.7,1543.9
1578034800,1543.9,1546.6,1542.8,1546.1
1578038400,1546.1,1548,1545.5,1546.9
1578042000,1546.9,1553,1546.7,1549.4
1578045600,1549.4,1552.1,1547.8,1551.1
1578049200,1551,1554,1550.4,1551.9
1578052800,1551.9,1552.6,1547.9,1548.9
1578056400,1548.9,1549.9,1543.3,1548.7
1578060000,1548.8,1550.6,1546.5,1548.6
1578063600,1548.6,1553.6,1548.6,1551.5
1578067200,1551.4,1553.1,1550.1,1550.8
1578070800,1550.9,1551.5,1549.5,1551.4
1578074400,1551.4,1556.6,1550.9,1552.2
1578078000,1552,1552.5,1548.7,1550.4
1578081600,1550.5,1551.7,1549.5,1551.7
1578085200,1551.6,1555.2,1551,1555.2
1578265200,1562.7,1590.9,1562.3,1571.6
1578268800,1571.5,1573.4,1569.5,1571.9
1578272400,1571.9,1582.5,1571.1,1580.2
1578276000,1580.2,1580.5,1577.6,1580
1578279600,1579.9,1581.9,1579.3,1580.5
1578283200,1580.5,1580.7,1577.2,1578.4
1578286800,1578.4,1579.7,1575.8,1577.2
1578290400,1577.2,1580,1575.9,1576.7
1578294000,1576.6,1577.5,1572.4,1576.4
1578297600,1576.4,1578.8,1573.5,1577.9
1578301200,1577.9,1580.5,1576.5,1579.5
1578304800,1579.5,1580,1577.3,1579.9
1578308400,1579.8,1581.5,1578.3,1580.9
1578312000,1580.9,1581.2,1578.2,1578.8
1578315600,1578.8,1579.8,1573.3,1576.3
1578319200,1576.4,1578.8,1574.6,1575
1578322800,1574.9,1576.3,1562.9,1566.2
1578326400,1566.3,1567.8,1562.7,1566.7
1578330000,1566.8,1567.4,1564.1,1566.5
1578333600,1566.6,1570.6,1565.9,1568.6
1578337200,1568.6,1569.8,1564.9,1566.8
1578340800,1566.9,1568.8,1566.3,1567.6
1578344400,1567.6,1568.8,1567.2,1567.7
1578351600,1567.4,1567.8,1565.6,1565.7
1578355200,1565.8,1567.7,1564.5,1566.1
1578358800,1566.2,1566.5,1558.4,1559.6
1578362400,1559.7,1562.7,1557,1560.7
1578366000,1560.8,1561.8,1560.1,1560.9
1578369600,1560.9,1561.6,1559.7,1561
1578373200,1561,1564.8,1560.8,1564.3
1578376800,1564.3,1571.1,1564.2,1566.6
1578380400,1566.6,1572.7,1566.3,1571.6
1578384000,1571.5,1572.3,1566.2,1566.6
1578387600,1566.5,1568.7,1564.9,1567.9
1578391200,1568,1568.9,1566.8,1567.3
1578394800,1567.4,1570.6,1567.1,1569.3
1578398400,1569.3,1571.4,1565.4,1566.9
1578402000,1566.8,1570,1566.3,1569.8
1578405600,1569.7,1573.5,1567.8,1570.7
1578409200,1570.6,1573.1,1567.2,1570.3
1578412800,1570.3,1573.5,1570,1572.8
1578416400,1572.8,1574.9,1572.6,1573.6
1578420000,1573.6,1574.8,1572.3,1574
1578423600,1574,1574.7,1571.2,1572.9
1578427200,1572.9,1573.7,1571.4,1573.4
1578430800,1573.4,1579.2,1573.1,1576.1
1578438000,1578.8,1600,1575.5,1596.7
1578441600,1596.6,1613.3,1594.1,1600.6
1578445200,1600.7,1607.7,1592.2,1595.1
1578448800,1595,1596.1,1585.3,1587.2
1578452400,1587.2,1595.6,1586.7,1592.4
1578456000,1592.3,1595.2,1590.7,1594.8
1578459600,1594.7,1597,1592.7,1596
1578463200,1596,1596.7,1593.5,1594.7
1578466800,1594.7,1594.8,1587.3,1590
1578470400,1590.1,1590.4,1581.1,1582.4
1578474000,1582.4,1587,1580.5,1585
1578477600,1585.1,1586.1,1580.3,1582
1578481200,1582.1,1584,1576.3,1578.6
1578484800,1578.6,1581.4,1574.6,1576.7
1578488400,1576.7,1579,1569.4,1578.1
1578492000,1578.1,1579.7,1572.4,1574.7
1578495600,1574.7,1576.5,1571.2,1575
1578499200,1575,1575,1553.9,1560.1
1578502800,1560.1,1563.6,1558.3,1563.3
1578506400,1563.3,1563.7,1557.3,1557.4
1578510000,1557.4,1557.5,1553.4,1555.4
1578513600,1555.4,1563.8,1554.5,1561.2
1578517200,1561.2,1562.2,1556.5,1557.5
1578524400,1557.7,1561.3,1556.1,1559
1578528000,1559,1559.8,1554.5,1557.7
1578531600,1557.7,1562.4,1557,1560.6
1578535200,1560.7,1561.8,1559.8,1561.5
1578538800,1561.6,1561.6,1557.3,1559.6
1578542400,1559.6,1560.4,1558.8,1559.2
1578546000,1559.2,1559.8,1555.9,1556.2
1578549600,1556.1,1556.9,1541,1545.1
1578553200,1545,1548.3,1544.9,1546.4
1578556800,1546.5,1549.6,1545.4,1548.2
1578560400,1548.1,1548.7,1545.7,1547.2
1578564000,1547.2,1549.2,1546.4,1548.3
1578567600,1548.3,1550.6,1548,1549.3
1578571200,1549.3,1557.5,1547.3,1555.8
1578574800,1555.7,1555.9,1549.7,1550.9
1578578400,1550.8,1553.7,1548.7,1552.7
1578582000,1552.8,1553.6,1545.8,1547.8
1578585600,1547.7,1551.3,1547.6,1550.6
1578589200,1550.5,1553.3,1550.2,1550.3
1578592800,1550.3,1556.2,1550.3,1553.9
1578596400,1553.8,1555.6,1553.3,1553.7
1578600000,1553.7,1554,1550.8,1551.9
1578603600,1551.9,1553.6,1551.8,1553.5
1578610800,1553.4,1555,1552.6,1553.6
1578614400,1553.6,1553.6,1551,1552.8
1578618000,1552.8,1552.8,1548.2,1548.9
1578621600,1548.8,1550.3,1548,1549.8
1578625200,1549.7,1549.9,1547.1,1547.4
1578628800,1547.3,1548.3,1546.7,1548.1
1578632400,1548,1549.6,1547.5,1549.3
1578636000,1549.2,1549.4,1547.1,1548.8
1578639600,1548.8,1552.8,1548.3,1551.7
1578643200,1551.7,1553.5,1550.7,1552
1578646800,1552,1552.3,1548.7,1549.2
1578650400,1549.2,1550.7,1549,1549.7
1578654000,1549.7,1551.9,1548.9,1551.6
1578657600,1551.6,1551.6,1549.6,1550.5
1578661200,1550.5,1557.6,1547.6,1549.6
1578664800,1549.6,1555.5,1548.6,1554.3
1578668400,1554.3,1560.5,1553.8,1559.8
1578672000,1559.6,1562.2,1558.8,1561
1578675600,1561,1562,1559,1560.4
1578679200,1560.5,1560.5,1559.2,1559.5
1578682800,1559.5,1560,1558.7,1559.8
1578686400,1559.8,1561.5,1559.7,1561.1
1578690000,1561.2,1564.1,1561.2,1563.2
1578870000,1563,1563.1,1558.9,1560.1
1578873600,1560.3,1561,1559.2,1559.6
1578877200,1559.6,1559.6,1555.1,1557.7
1578880800,1557.7,1558.5,1556.3,1557
1578884400,1557,1557.8,1556.7,1557.6
1578888000,1557.7,1557.7,1556.3,1556.5
1578891600,1556.5,1557.3,1555.8,1556.1
1578895200,1556,1556.4,1554.5,1556
1578898800,1556.1,1556.1,1552.6,1553.5
1578902400,1553.6,1554,1550.6,1551.2
1578906000,1551.1,1551.5,1547,1548.7
1578909600,1548.6,1552.8,1548.6,1551.9
1578913200,1551.9,1554.8,1551.2,1553.7
1578916800,1553.8,1555.8,1553,1555.7
1578920400,1555.7,1557,1553.6,1555.5
1578924000,1555.6,1556.2,1549.3,1551.9
1578927600,1551.9,1554.1,1550,1552.3
1578931200,1552.2,1554.8,1551,1551.3
1578934800,1551.4,1551.9,1549.9,1550.5
1578938400,1550.4,1551,1549.9,1550.2
1578942000,1550.2,1551,1548.9,1550.5
1578945600,1550.4,1551.3,1549.1,1549.3
1578949200,1549.3,1549.8,1548.3,1548.3
1578956400,1548.6,1549.5,1545.4,1545.8
1578960000,1545.7,1545.8,1542.2,1544.1
1578963600,1544.1,1544.2,1536.4,1538.1
1578967200,1538.2,1540.7,1538,1540.6
1578970800,1540.6,1541.1,1539.1,1539.3
1578974400,1539.4,1540,1538.6,1539.5
1578978000,1539.4,1539.7,1536.7,1538.5
1578981600,1538.4,1540.7,1536.9,1540.3
1578985200,1540.3,1543.8,1539.6,1543.8
1578988800,1543.7,1546.7,1542.4,1545.2
1578992400,1545.1,1545.3,1543.2,1544.7
1578996000,1544.6,1546.4,1544.3,1545.7
1578999600,1545.6,1546.6,1543.6,1543.7
1579003200,1543.6,1544.8,1542.8,1543.7
1579006800,1543.7,1547.4,1542.5,1544.7
1579010400,1544.7,1547.6,1542.9,1546.9
1579014000,1546.9,1547.3,1541.4,1543.4
1579017600,1543.4,1544.8,1542.7,1542.9
1579021200,1542.9,1544.4,1542.5,1544
1579024800,1544,1549.4,1543.4,1546.3
1579028400,1546.2,1548.4,1545.6,1546.7
1579032000,1546.6,1547.9,1546,1547.6
1579035600,1547.7,1547.7,1546.5,1547
1579042800,1546.8,1550.6,1546.5,1550
1579046400,1550.1,1550.6,1548.4,1549.7
1579050000,1549.6,1549.6,1546.7,1547.7
1579053600,1547.7,1553.4,1547.7,1552.6
1579057200,1552.7,1553.3,1551.5,1552.6
1579060800,1552.6,1553.2,1552.2,1552.6
1579064400,1552.5,1553.9,1552.5,1553.7
1579068000,1553.8,1554.4,1550.8,1551.3
1579071600,1551.3,1553.3,1551.1,1553.2
1579075200,1553.2,1554.7,1552.3,1554
1579078800,1553.9,1554.1,1552,1553.7
1579082400,1553.7,1553.8,1551.8,1552.2
1579086000,1552.2,1553.5,1551.9,1552.4
1579089600,1552.4,1552.7,1550.4,1551.2
1579093200,1551.2,1555.4,1547.3,1555.3
1579096800,1555.2,1557.6,1549.2,1550
1579100400,1550,1551.5,1549.2,1549.4
1579104000,1549.4,1552.8,1549.2,1552.3
1579107600,1552.3,1554.8,1551.3,1554.5
1579111200,1554.5,1556.9,1553.5,1556.3
1579114800,1556.3,1558.8,1555.2,1555.8
1579118400,1555.7,1557.4,1554.5,1556.5
1579122000,1556.5,1556.9,1555.4,1556.6
1579129200,1556.6,1556.7,1555.1,1556.4
1579132800,1556.4,1558.2,1556.3,1557.1
1579136400,1557.1,1557.7,1555.8,1556.6
1579140000,1556.5,1557.2,1555.4,1556
1579143600,1556,1556.8,1555.5,1556.5
1579147200,1556.5,1556.5,1555.6,1555.9
1579150800,1555.8,1556.1,1551.5,1551.9
1579154400,1551.8,1553.4,1551.8,1553
1579158000,1553,1553.9,1552.6,1553.6
1579161600,1553.5,1554.8,1552,1554
1579165200,1554,1555.8,1553.9,1555
1579168800,1554.9,1556,1554.6,1554.9
1579172400,1554.8,1556.6,1554.6,1556.4
1579176000,1556.4,1557.6,1555.4,1556.9
1579179600,1556.8,1557,1552.6,1554.4
