time,open,high,low,close
1577916000,0.67298,0.67314,0.67162,0.67308
1577919600,0.67308,0.67376,0.67295,0.67363
1577923200,0.67363,0.67395,0.67321,0.67336
1577926800,0.67336,0.67376,0.67281,0.67314
1577930400,0.67314,0.67328,0.67266,0.67293
1577934000,0.67293,0.67299,0.6722,0.67223
1577937600,0.67223,0.6725,0.67185,0.67199
1577941200,0.67199,0.67229,0.67143,0.67223
1577944800,0.67223,0.67234,0.67162,0.67185
1577948400,0.67185,0.67234,0.67175,0.67217
1577952000,0.67217,0.67248,0.67163,0.67209
1577955600,0.67209,0.67239,0.67076,0.67087
1577959200,0.67087,0.67106,0.67005,0.67059
1577962800,0.67059,0.67069,0.66848,0.66886
1577966400,0.66886,0.66963,0.66852,0.66946
1577970000,0.66946,0.6702,0.66929,0.67017
1577973600,0.67017,0.67081,0.66925,0.67058
1577977200,0.67058,0.67137,0.67012,0.67125
1577980800,0.67125,0.67138,0.66911,0.66918
1577984400,0.66918,0.66933,0.66848,0.66883
1577988000,0.66883,0.66901,0.66857,0.66892
1577991600,0.66892,0.66946,0.66874,0.66939
1577995200,0.66939,0.66967,0.66908,0.6696
1577998800,0.6696,0.67036,0.66955,0.66989
1578002400,0.66989,0.67058,0.66967,0.66976
1578006000,0.66976,0.6701,0.66961,0.66984
1578009600,0.66984,0.66989,0.66922,0.66956
1578013200,0.66956,0.6698,0.66827,0.6683
1578016800,0.6683,0.66882,0.66798,0.66821
1578020400,0.66821,0.66823,0.6671,0.66761
1578024000,0.66761,0.66781,0.66687,0.66699
1578027600,0.66699,0.66727,0.66638,0.66687
1578031200,0.66687,0.667,0.66636,0.667
1578034800,0.667,0.66729,0.66576,0.66638
1578038400,0.66638,0.66738,0.666,0.66617
1578042000,0.66617,0.66635,0.66494,0.66499
1578045600,0.66499,0.66545,0.66443,0.6652
1578049200,0.6652,0.66543,0.66486,0.66531
1578052800,0.66531,0.66655,0.66506,0.66633
1578056400,0.66633,0.66704,0.66606,0.66609
1578060000,0.66609,0.6669,0.66593,0.666
1578063600,0.666,0.6675,0.666,0.66683
1578067200,0.66683,0.66739,0.66644,0.66719
1578070800,0.66719,0.66736,0.66691,0.66716
1578074400,0.66716,0.66716,0.6666,0.66673
1578078000,0.66673,0.6671,0.66632,0.66684
1578081600,0.66684,0.66702,0.66633,0.66656
1578085200,0.66656,0.66659,0.66625,0.66642
1578261600,0.66642,0.66642,0.66517,0.66542
1578265200,0.66542,0.66593,0.66525,0.66541
1578268800,0.66542,0.66659,0.66542,0.66642
1578272400,0.66642,0.66655,0.66551,0.66567
1578276000,0.66567,0.6662,0.66537,0.66538
1578279600,0.66538,0.66567,0.66508,0.66527
1578283200,0.66527,0.66546,0.6651,0.66532
1578286800,0.66532,0.66534,0.66491,0.66504
1578290400,0.66504,0.66512,0.66445,0.66475
1578294000,0.66475,0.66589,0.66475,0.6657
1578297600,0.6657,0.66652,0.6657,0.66626
