time,open,high,low,close
1577919600,17.905,18.005,17.905,17.94
1577923200,17.94,17.96,17.915,17.94
1577926800,17.94,17.965,17.87,17.885
1577930400,17.885,17.925,17.83,17.92
1577934000,17.92,17.935,17.895,17.91
1577937600,17.91,17.915,17.885,17.895
1577941200,17.895,17.92,17.885,17.905
1577944800,17.905,17.93,17.895,17.92
1577948400,17.92,17.925,17.895,17.895
1577952000,17.9,17.95,17.885,17.945
1577955600,17.945,17.975,17.935,17.945
1577959200,17.945,17.96,17.925,17.96
1577962800,17.965,17.975,17.945,17.96
1577966400,17.96,17.98,17.945,17.965
1577970000,17.97,18.15,17.965,18.125
1577973600,18.125,18.145,17.985,18
1577977200,18,18.11,18,18.06
1577980800,18.065,18.065,18.01,18.02
1577984400,18.02,18.065,17.99,18.06
1577988000,18.06,18.07,18.035,18.05
1577991600,18.045,18.06,18.025,18.055
1577995200,18.055,18.085,18.05,18.06
1577998800,18.06,18.075,18.06,18.075
1578006000,18.07,18.08,18.055,18.08
1578009600,18.08,18.105,18.075,18.1
1578013200,18.1,18.185,18.065,18.145
1578016800,18.145,18.215,18.115,18.16
1578020400,18.16,18.2,18.14,18.165
1578024000,18.165,18.18,18.155,18.18
1578027600,18.175,18.31,18.165,18.25
1578031200,18.245,18.27,18.21,18.215
1578034800,18.22,18.325,18.215,18.31
1578038400,18.31,18.32,18.215,18.225
1578042000,18.225,18.295,18.225,18.23
1578045600,18.235,18.27,18.175,18.255
1578049200,18.25,18.26,18.215,18.235
1578052800,18.235,18.27,18.19,18.21
1578056400,18.21,18.23,18.085,18.13
1578060000,18.135,18.16,18.08,18.12
1578063600,18.125,18.195,18.125,18.155
1578067200,18.155,18.18,18.125,18.145
1578070800,18.145,18.15,18.125,18.15
1578074400,18.145,18.19,18.105,18.12
1578078000,18.12,18.135,18.04,18.07
1578081600,18.075,18.075,18.04,18.07
1578085200,18.07,18.095,18.055,18.095
1578265200,18.17,18.345,18.17,18.215
1578268800,18.21,18.255,18.19,18.225
1578272400,18.225,18.55,18.225,18.505
1578276000,18.505,18.51,18.465,18.48
1578279600,18.475,18.51,18.46,18.485
1578283200,18.485,18.49,18.46,18.475
1578286800,18.475,18.495,18.41,18.45
1578290400,18.445,18.49,18.42,18.42
1578294000,18.425,18.425,18.36,18.385
1578297600,18.385,18.4,18.35,18.375
1578301200,18.38,18.43,18.36,18.4
1578304800,18.405,18.45,18.4,18.435
1578308400,18.43,18.465,18.41,18.455
1578312000,18.455,18.485,18.44,18.46
1578315600,18.46,18.495,18.36,18.4
1578319200,18.4,18.435,18.33,18.335
1578322800,18.335,18.37,18.045,18.12
1578326400,18.12,18.155,18.09,18.14
1578330000,18.14,18.15,18.115,18.14
1578333600,18.14,18.215,18.13,18.2
1578337200,18.2,18.205,18.15,18.16
1578340800,18.16,18.185,18.16,18.18
1578344400,18.185,18.19,18.175,18.18
1578351600,18.185,18.19,18.14,18.15
1578355200,18.15,18.17,18.14,18.155
1578358800,18.155,18.155,17.975,18.02
1578362400,18.02,18.075,17.975,18.06
1578366000,18.055,18.09,18.05,18.06
1578369600,18.06,18.075,18.05,18.07
1578373200,18.07,18.155,18.065,18.15
1578376800,18.15,18.25,18.145,18.185
1578380400,18.19,18.255,18.17,18.245
1578384000,18.24,18.245,18.14,18.14
1578387600,18.14,18.165,18.095,18.16
1578391200,18.16,18.175,18.135,18.145
1578394800,18.14,18.205,18.14,18.175
1578398400,18.175,18.205,18.085,18.12
1578402000,18.12,18.22,18.11,18.215
1578405600,18.21,18.265,18.18,18.215
1578409200,18.21,18.285,18.155,18.235
1578412800,18.24,18.35,18.24,18.33
1578416400,18.33,18.405,18.325,18.375
1578420000,18.38,18.44,18.35,18.43
1578423600,18.43,18.455,18.355,18.41
1578427200,18.41,18.43,18.37,18.405
1578430800,18.4,18.47,18.4,18.435
1578438000,18.45,18.65,18.41,18.615
1578441600,18.61,18.75,18.59,18.615
1578445200,18.615,18.895,18.545,18.63
1578448800,18.625,18.65,18.51,18.54
1578452400,18.535,18.645,18.53,18.54
1578456000,18.54,18.6,18.515,18.595
1578459600,18.595,18.665,18.57,18.63
1578463200,18.63,18.65,18.585,18.61
1578466800,18.61,18.61,18.51,18.545
1578470400,18.545,18.56,18.42,18.435
1578474000,18.435,18.48,18.4,18.47
1578477600,18.47,18.5,18.405,18.42
1578481200,18.42,18.465,18.375,18.41
1578484800,18.41,18.455,18.365,18.395
1578488400,18.4,18.4,18.205,18.37
1578492000,18.37,18.43,18.315,18.375
1578495600,18.375,18.395,18.315,18.365
1578499200,18.365,18.37,18.085,18.19
1578502800,18.19,18.25,18.16,18.22
1578506400,18.22,18.235,18.14,18.15
1578510000,18.15,18.15,18.085,18.095
1578513600,18.1,18.19,18.085,18.15
1578517200,18.155,18.16,18.115,18.13
1578524400,18.12,18.185,18.115,18.15
1578528000,18.155,18.175,18.115,18.175
1578531600,18.17,18.225,18.145,18.19
1578535200,18.19,18.205,18.145,18.17
1578538800,18.17,18.17,18.05,18.125
1578542400,18.125,18.135,18.095,18.12
1578546000,18.115,18.13,17.88,17.925
1578549600,17.925,17.945,17.825,17.915
1578553200,17.91,17.95,17.895,17.93
1578556800,17.935,17.955,17.89,17.925
1578560400,17.92,17.965,17.9,17.945
1578564000,17.95,17.98,17.94,17.97
1578567600,17.965,17.985,17.95,17.955
1578571200,17.955,18.055,17.875,18.03
1578574800,18.03,18.03,17.93,17.95
1578578400,17.945,17.965,17.89,17.955
1578582000,17.955,17.96,17.815,17.86
1578585600,17.86,17.92,17.86,17.915
1578589200,17.915,17.945,17.885,17.89
1578592800,17.885,17.955,17.885,17.93
1578596400,17.935,17.97,17.93,17.945
1578600000,17.95,17.955,17.9,17.915
1578603600,17.92,17.93,17.905,17.915
1578610800,17.92,17.945,17.915,17.925
1578614400,17.93,17.93,17.905,17.92
1578618000,17.92,17.92,17.875,17.88
1578621600,17.88,17.905,17.865,17.895
1578625200,17.895,17.9,17.86,17.865
1578628800,17.87,17.9,17.865,17.9
1578632400,17.895,17.905,17.875,17.895
1578636000,17.895,17.895,17.86,17.88
1578639600,17.885,17.96,17.88,17.955
1578643200,17.955,17.975,17.935,17.955
1578646800,17.95,17.96,17.92,17.93
1578650400,17.93,17.945,17.92,17.94
1578654000,17.935,17.97,17.925,17.96
1578657600,17.96,17.96,17.92,17.93
1578661200,17.925,18.09,17.87,17.93
1578664800,17.93,18.025,17.915,18.015
1578668400,18.02,18.175,18.02,18.14
1578672000,18.14,18.175,18.095,18.14
1578675600,18.145,18.17,18.11,18.135
1578679200,18.13,18.14,18.085,18.095
1578682800,18.095,18.105,18.085,18.095
1578686400,18.095,18.115,18.085,18.1
1578690000,18.095,18.135,18.095,18.13
1578870000,18.13,18.13,18.055,18.075
1578873600,18.08,18.1,18.075,18.09
1578877200,18.095,18.095,18.025,18.065
1578880800,18.06,18.07,18.035,18.04
1578884400,18.045,18.08,18.03,18.08
1578888000,18.08,18.08,18.045,18.045
1578891600,18.05,18.075,18.035,18.04
1578895200,18.035,18.05,18.035,18.035
1578898800,18.035,18.035,17.98,18.005
1578902400,18.005,18.015,17.97,17.98
1578906000,17.98,17.985,17.94,17.965
1578909600,17.96,17.995,17.96,17.99
1578913200,17.985,18.015,17.97,18.01
1578916800,18.005,18.04,17.995,18.04
1578920400,18.045,18.06,18.01,18.045
1578924000,18.05,18.075,17.96,17.985
1578927600,17.985,18.025,17.935,17.995
1578931200,17.995,18.055,17.98,18.02
1578934800,18.02,18.04,18.005,18.015
1578938400,18.01,18.02,17.985,17.995
1578942000,17.995,18.035,17.99,18.01
1578945600,18.01,18.015,17.985,17.995
1578949200,18,18,17.97,17.975
1578956400,17.975,17.985,17.935,17.94
1578960000,17.935,17.95,17.915,17.94
1578963600,17.94,17.945,17.755,17.77
1578967200,17.77,17.81,17.77,17.81
1578970800,17.81,17.825,17.795,17.8
1578974400,17.795,17.805,17.79,17.8
1578978000,17.8,17.805,17.69,17.72
1578981600,17.715,17.765,17.695,17.745
1578985200,17.745,17.78,17.72,17.78
1578988800,17.78,17.785,17.745,17.745
1578992400,17.745,17.785,17.735,17.785
1578996000,17.78,17.82,17.78,17.805
1578999600,17.805,17.815,17.765,17.77
1579003200,17.765,17.785,17.745,17.765
1579006800,17.76,17.835,17.735,17.785
1579010400,17.785,17.87,17.75,17.845
1579014000,17.85,17.86,17.78,17.805
1579017600,17.805,17.825,17.725,17.745
1579021200,17.745,17.785,17.73,17.775
1579024800,17.775,17.82,17.73,17.76
1579028400,17.76,17.825,17.75,17.82
1579032000,17.815,17.83,17.8,17.82
1579035600,17.82,17.825,17.8,17.81
1579042800,17.8,17.86,17.795,17.845
1579046400,17.84,17.855,17.82,17.825
1579050000,17.825,17.83,17.77,17.8
1579053600,17.795,17.89,17.78,17.88
1579057200,17.88,17.885,17.855,17.865
1579060800,17.865,17.895,17.865,17.885
1579064400,17.885,17.92,17.885,17.895
1579068000,17.89,17.91,17.815,17.845
1579071600,17.845,17.87,17.835,17.87
1579075200,17.87,17.895,17.845,17.88
1579078800,17.88,17.88,17.835,17.855
1579082400,17.855,17.855,17.84,17.845
1579086000,17.845,17.885,17.84,17.86
1579089600,17.855,17.87,17.805,17.825
1579093200,17.825,17.95,17.755,17.95
1579096800,17.945,18.025,17.91,17.93
1579100400,17.93,17.955,17.9,17.94
1579104000,17.94,17.99,17.92,17.975
1579107600,17.975,18.005,17.96,17.995
1579111200,17.995,18.02,17.965,18.005
1579114800,18,18.055,18,18.005
1579118400,18.005,18.02,17.985,18.01
1579122000,18.015,18.02,18,18.005
1579129200,18.01,18.02,17.995,18.02
1579132800,18.025,18.055,18.005,18.01
1579136400,18.01,18.045,17.98,18
1579140000,18.005,18.005,17.93,17.935
1579143600,17.94,17.97,17.925,17.96
1579147200,17.96,17.96,17.93,17.94
1579150800,17.94,17.94,17.875,17.88
1579154400,17.875,17.915,17.875,17.91
1579158000,17.905,17.91,17.88,17.905
1579161600,17.9,17.95,17.9,17.925
1579165200,17.925,17.975,17.925,17.955
1579168800,17.96,17.97,17.945,17.97
1579172400,17.965,18.025,17.965,18.015
1579176000,18.015,18.04,17.985,18.03
1579179600,18.03,18.045,17.95,18.005
1579183200,18,18.005,17.93,17.985
1579186800,17.985,18.02,17.9,17.935
