time,open,high,low,close
1577916000,0.96783,0.96918,0.96651,0.96829
1577919600,0.96829,0.96843,0.9666,0.96776
1577923200,0.96776,0.96844,0.96774,0.96831
1577926800,0.96831,0.96833,0.96772,0.96797
1577930400,0.96797,0.96844,0.96776,0.96799
1577934000,0.96799,0.96892,0.96785,0.96883
1577937600,0.96883,0.97006,0.96873,0.96991
1577941200,0.96991,0.97039,0.96991,0.97021
1577944800,0.97021,0.97078,0.97005,0.97029
1577948400,0.97029,0.97062,0.96983,0.96999
1577952000,0.96999,0.97035,0.96891,0.96892
1577955600,0.96892,0.96962,0.96817,0.96957
1577959200,0.96957,0.97008,0.9691,0.96989
1577962800,0.96989,0.97106,0.96976,0.97097
1577966400,0.97097,0.97123,0.97042,0.97109
1577970000,0.97109,0.97115,0.97022,0.97033
1577973600,0.97033,0.97139,0.97026,0.9713
1577977200,0.9713,0.9713,0.96903,0.96917
1577980800,0.96917,0.97227,0.96897,0.97219
1577984400,0.97219,0.97332,0.97219,0.97284
1577988000,0.97284,0.97311,0.97223,0.9723
1577991600,0.9723,0.97282,0.97224,0.97231
1577995200,0.97231,0.97245,0.9711,0.97146
1577998800,0.97146,0.97155,0.97107,0.97151
1578002400,0.97151,0.97205,0.97114,0.97155
1578006000,0.97155,0.97166,0.97111,0.97147
1578009600,0.97147,0.97163,0.97114,0.97115
1578013200,0.97115,0.97124,0.96988,0.9702
1578016800,0.9702,0.97029,0.96884,0.96938
1578020400,0.96938,0.96981,0.9693,0.96974
1578024000,0.96974,0.97028,0.96951,0.97015
1578027600,0.97015,0.97108,0.97006,0.97077
1578031200,0.97077,0.971,0.97029,0.97068
1578034800,0.97068,0.97173,0.97016,0.97098
1578038400,0.97098,0.97249,0.97051,0.97209
1578042000,0.97209,0.97352,0.97192,0.9735
1578045600,0.9735,0.97438,0.97336,0.97355
1578049200,0.97355,0.97409,0.97334,0.97363
1578052800,0.97363,0.97393,0.97233,0.97268
1578056400,0.97268,0.97328,0.97238,0.97303
1578060000,0.97303,0.97345,0.9725,0.97299
