time,open,high,low,close
1577916000,108.664,108.771,108.634,108.695
1577919600,108.695,108.726,108.605,108.725
1577923200,108.725,108.736,108.682,108.702
1577926800,108.702,108.732,108.638,108.673
1577930400,108.673,108.69,108.658,108.679
1577934000,108.679,108.713,108.673,108.707
1577937600,108.707,108.744,108.7,108.743
1577941200,108.743,108.758,108.732,108.743
1577944800,108.743,108.75,108.712,108.712
1577948400,108.712,108.801,108.694,108.786
1577952000,108.786,108.82,108.767,108.781
1577955600,108.781,108.845,108.776,108.839
1577959200,108.839,108.866,108.792,108.808
1577962800,108.808,108.813,108.772,108.774
1577966400,108.774,108.807,108.757,108.787
1577970000,108.787,108.79,108.658,108.694
1577973600,108.694,108.75,108.637,108.675
1577977200,108.675,108.683,108.212,108.272
1577980800,108.272,108.446,108.261,108.434
1577984400,108.434,108.555,108.432,108.529
1577988000,108.529,108.56,108.499,108.523
1577991600,108.523,108.571,108.512,108.549
1577995200,108.549,108.562,108.495,108.557
1577998800,108.557,108.567,108.528,108.566
1578002400,108.566,108.569,108.506,108.548
1578006000,108.548,108.631,108.542,108.546
1578009600,108.546,108.564,108.393,108.407
1578013200,108.407,108.442,108.166,108.204
1578016800,108.204,108.243,108.001,108.061
1578020400,108.061,108.186,108.007,108.184
1578024000,108.184,108.233,108.128,108.134
1578027600,108.134,108.165,108.081,108.124
1578031200,108.124,108.154,108.082,108.142
1578034800,108.142,108.143,107.917,107.949
1578038400,107.949,108.074,107.931,107.994
1578042000,107.994,108.07,107.922,108.069
1578045600,108.069,108.132,108.017,108.052
1578049200,108.052,108.118,107.998,108.029
1578052800,108.029,108.156,108.024,108.087
1578056400,108.087,108.163,108.087,108.159
1578060000,108.159,108.268,108.147,108.226
1578063600,108.226,108.226,107.998,108.04
1578067200,108.04,108.041,107.917,107.948
1578070800,107.948,107.989,107.934,107.969
1578074400,107.969,108.077,107.842,108.055
1578078000,108.055,108.092,108.012,108.014
1578081600,108.014,108.121,108.013,108.095
1578085200,108.095,108.129,108.087,108.099
1578261600,108.099,108.099,107.805,107.806
1578265200,107.806,107.981,107.773,107.971
1578268800,107.971,108.123,107.949,108.068
1578272400,108.068,108.086,107.915,107.948
1578276000,107.948,108.058,107.931,108.032
1578279600,108.032,108.077,108.01,108.058
1578283200,108.058,108.105,108.035,108.063
1578286800,108.063,108.072,108.035,108.06
1578290400,108.06,108.072,107.971,108.054
1578294000,108.054,108.179,108.028,108.103
1578297600,108.103,108.136,107.952,107.978
1578301200,107.978,108.035,107.927,107.987
1578304800,107.987,108.037,107.981,108.003
1578308400,108.003,108.082,107.991,108.061
1578312000,108.061,108.165,108.044,108.159
1578315600,108.159,108.165,108.074,108.123
1578319200,108.123,108.154,108.069,108.141
1578322800,108.141,108.366,108.107,108.322
1578326400,108.322,108.415,108.295,108.371
1578330000,108.371,108.401,108.348,108.35
1578333600,108.35,108.397,108.342,108.368
1578337200,108.368,108.508,108.355,108.454
1578340800,108.454,108.462,108.42,108.44
1578344400,108.44,108.45,108.37,108.371
1578348000,108.371,108.383,108.303,108.379
1578351600,108.379,108.421,108.368,108.416
1578355200,108.416,108.456,108.379,108.429
1578358800,108.429,108.463,108.376,108.435
1578362400,108.435,108.482,108.422,108.474
1578366000,108.474,108.498,108.446,108.472
1578369600,108.472,108.506,108.461,108.498
1578373200,108.498,108.508,108.435,108.436
1578376800,108.436,108.456,108.343,108.445
1578380400,108.445,108.446,108.263,108.319
1578384000,108.319,108.503,108.311,108.455
1578387600,108.455,108.485,108.415,108.468
1578391200,108.468,108.486,108.369,108.417
1578394800,108.417,108.427,108.378,108.398
1578398400,108.398,108.429,108.38,108.425
1578402000,108.425,108.477,108.418,108.439
1578405600,108.439,108.483,108.319,108.421
1578409200,108.421,108.631,108.418,108.608
1578412800,108.608,108.629,108.528,108.538
1578416400,108.538,108.556,108.512,108.547
1578420000,108.547,108.567,108.511,108.542
1578423600,108.542,108.595,108.523,108.53
1578427200,108.53,108.557,108.529,108.556
1578430800,108.556,108.561,108.354,108.458
1578434400,108.458,108.531,108.409,108.456
1578438000,108.456,108.478,107.832,107.999
1578441600,107.999,108.071,107.653,107.868
1578445200,107.868,108.139,107.81,108.034
1578448800,108.034,108.463,108.007,108.392
1578452400,108.392,108.409,108.165,108.363
1578456000,108.363,108.402,108.277,108.315
1578459600,108.315,108.383,108.29,108.308
1578463200,108.308,108.413,108.276,108.379
1578466800,108.379,108.469,108.379,108.422
1578470400,108.422,108.49,108.398,108.456
1578474000,108.456,108.484,108.422,108.448
1578477600,108.448,108.76,108.426,108.68
1578481200,108.68,108.774,108.614,108.723
1578484800,108.723,108.787,108.657,108.761
1578488400,108.761,108.817,108.672,108.672
1578492000,108.672,108.745,108.633,108.694
1578495600,108.694,108.746,108.617,108.625
1578499200,108.625,109.102,108.624,109.036
1578502800,109.036,109.136,109.015,109.097
1578506400,109.097,109.175,109.097,109.137
1578510000,109.137,109.244,109.137,109.233
1578513600,109.233,109.233,109.001,109.038
1578517200,109.038,109.174,109.021,109.134
1578520800,109.134,109.134,109.049,109.078
1578524400,109.078,109.125,109.014,109.038
1578528000,109.038,109.246,109.032,109.187
1578531600,109.187,109.256,109.182,109.238
1578535200,109.238,109.238,109.182,109.198
1578538800,109.198,109.205,109.152,109.193
1578542400,109.193,109.225,109.184,109.217
1578546000,109.217,109.285,109.209,109.276
1578549600,109.276,109.325,109.261,109.284
1578553200,109.284,109.363,109.251,109.357
1578556800,109.357,109.375,109.276,109.338
1578560400,109.338,109.433,109.327,109.433
1578564000,109.433,109.454,109.402,109.442
1578567600,109.442,109.489,109.419,109.452
1578571200,109.452,109.459,109.319,109.355
1578574800,109.355,109.461,109.352,109.432
1578578400,109.432,109.518,109.428,109.488
1578582000,109.488,109.584,109.462,109.541
1578585600,109.541,109.561,109.471,109.477
1578589200,109.477,109.514,109.443,109.512
1578592800,109.512,109.513,109.393,109.456
1578596400,109.456,109.52,109.453,109.513
1578600000,109.513,109.539,109.494,109.502
1578603600,109.502,109.525,109.493,109.518
1578607200,109.518,109.561,109.457,109.48
1578610800,109.48,109.528,109.474,109.497
1578614400,109.497,109.583,109.461,109.489
1578618000,109.489,109.547,109.479,109.544
1578621600,109.544,109.549,109.508,109.542
1578625200,109.542,109.544,109.519,109.53
